country,total_2000,total_2021
Saint Vincent and the Grenadines,0.14656,0.193957
Samoa,0.142896,0.286161
Sao Tome and Principe,0.047632,0.124398
Saudi Arabia,296.363782,661.192959
Senegal,3.902052,12.743876
Serbia,44.950193,44.549156
Seychelles,0.315104,0.538384
Sierra Leone,0.32976,1.216472
Singapore,48.394112,29.909495
Sint Maarten (Dutch part),0.590156,0.588126
Slovakia,41.135935,31.094728
Slovenia,15.05369,12.866237
Solomon Islands,0.223504,0.309364
Somalia,0.479984,0.578264
South Africa,378.055406,435.831861
South Korea,439.980692,597.634242
South Sudan,0.459821,1.498835
Spain,311.674624,213.339721
Sri Lanka,10.134099,21.70368
St. Kitts-Nevis-Anguilla,0.0,0.0
Sudan,5.055397,20.035506
Suriname,2.192347,2.607637
Swaziland,1.20912,1.060032
Sweden,54.890663,36.515101
Switzerland,43.622369,34.240967
Syria,50.481212,26.159826
Taiwan,226.983,264.267187
Tajikistan,2.233862,9.434043
Tanzania,2.571821,12.29418
Thailand,173.250623,277.368424
Timor-Leste,0.0,0.718671
Togo,1.331372,2.243693
Tonga,0.095264,0.17015
Trinidad and Tobago,24.191265,35.756215
Tunisia,19.671641,27.578279
Turkey,229.858207,413.433085
Turkmenistan,37.466194,72.035944
Turks and Caicos Islands,0.10992,0.309705
Tuvalu,0.007328,0.007734
USA,6016.350574,4715.691109
Uganda,1.36087,5.506982
Ukraine,285.321939,206.941159
United Arab Emirates,111.787053,199.084442
United Kingdom,569.033716,326.263199
Uruguay,5.268017,6.29665
Uzbekistan,120.994017,118.239699
Vanuatu,0.084272,0.17015
Venezuela,151.86991,76.467466
Viet Nam,52.600951,328.899732
Wallis and Futuna Islands,0.025648,0.027069
Yemen,14.493699,12.140133
Zambia,1.784113,7.280663
Zimbabwe,13.818202,10.607897
